20173,R,1
20174,C,1
20175,F,1
20176,S,1
20177,L,1
20178,B,1
20179,C,1
20180,Z,1
20181,S,1
20182,T,1
20183,Z,1
20184,F,1
20185,X,1
20186,X,1
20187,T,1
20188,H,1
20189,T,1
20190,R,1
20191,Q,1
20192,G,1
20193,G,1
20194,B,1
20195,D,1
20196,L,1
20197,Y,1
20198,C,1
20199,C,1
20200,S,1
20201,C,1
20202,Y,1
20203,M,1
20204,M,1
20205,R,1
20206,F,1
20207,C,1
20208,Y,1
20209,Q,1
20210,Z,1
20211,P,1
20212,W,1
20213,W,1
20214,J,1
20215,J,1
20216,Y,1
20217,F,1
20218,C,1
20219,R,1
20220,W,1
20221,F,1
20222,D,1
20223,F,1
20224,Z,1
20225,Q,1
20226,P,1
20227,Y,1
20228,D,1
20229,D,1
20230,W,1
20231,Y,1
20232,X,1
20233,K,1
20234,Y,1
20235,J,1
20236,A,1
20237,W,1
20238,J,1
20239,F,1
20240,F,1
20241,X,1
20242,J,1
20243,P,1
20244,D,1
20245,F,1
20246,T,1
20247,Z,1
20248,Y,1
20249,H,1
20250,H,1
20251,Y,1
20252,C,1
20253,Y,1
20254,S,1
20255,W,1
20256,C,1
20257,C,1
20258,Y,1
20259,Q,1
20260,S,1
20261,C,1
20262,L,1
20263,C,1
20264,X,1
20265,X,1
20266,W,1
20267,Z,1
20268,Z,1
20269,X,1
20270,N,1
20271,B,1
20272,G,1
20273,N,1
20274,N,1
20275,X,1
20276,B,1
20277,X,1
20278,L,1
20279,Z,1
20280,S,1
20281,Q,1
20282,C,1
20283,B,1
20284,S,1
20285,G,1
20286,P,1
20287,Y,1
20288,S,1
20289,Y,1
20290,Z,1
20291,D,1
20292,H,1
20293,M,1
20294,D,1
20295,Z,1
20296,B,1
20297,Q,1
20298,B,1
20299,Z,1
20300,C,1
20301,W,1
20302,D,1
20303,Z,1
20304,Z,1
20305,Y,1
20306,Y,1
20307,T,1
20308,Z,1
20309,H,1
20310,B,1
20311,T,1
20312,S,1
20313,Y,1
20314,Y,1
20315,F,1
20316,Z,1
20317,G,1
20318,N,1
20319,T,1
20320,N,1
20321,X,1
20322,Q,1
20323,Y,1
20324,W,1
20325,Q,1
20326,S,1
20327,K,1
20328,B,1
20329,P,1
20330,H,1
20331,H,1
20332,L,1
20333,X,1
20334,G,1
20335,Y,1
20336,B,1
20337,F,1
20338,M,1
20339,J,1
20340,E,1
20341,B,1
20342,J,1
20343,H,1
20344,H,1
20345,G,1
20346,Q,1
20347,T,1
20348,J,1
20349,C,1
20350,Y,1
20351,S,1
20352,X,1
20353,S,1
20354,T,1
20355,K,1
20356,Z,1
20357,G,1
20358,L,1
20359,Y,1
20360,C,1
20361,K,1
20362,G,1
20363,L,1
20364,Y,1
20365,S,1
20366,M,1
20367,Z,1
20368,X,1
20369,Y,1
20370,A,1
20371,L,1
20372,M,1
20373,E,1
20374,L,1
20375,D,1
20376,C,1
20377,C,1
20378,X,1
20379,G,1
20380,Z,1
20381,Y,1
20382,R,1
20383,C,1
20384,X,1
20385,S,1
20386,D,1
20387,L,1
20388,T,1
20389,J,1
20390,Z,1
20391,C,1
20392,Q,1
20393,K,1
20394,C,1
20395,N,1
20396,N,1
20397,J,1
20398,W,1
20399,H,1
20400,J,1
20401,C,1
20402,Z,1
20403,Z,1
20404,C,1
20405,Q,1
20406,L,1
20407,J,1
20408,S,1
20409,T,1
20410,S,1
20411,T,1
20412,B,1
20413,N,1
20414,X,1
20415,B,1
20416,T,1
20417,Y,1
20418,X,1
20419,C,1
20420,E,1
20421,Q,1
20422,X,1
20423,G,1
20424,K,1
20425,W,1
20426,J,1
20427,Y,1
20428,F,1
20429,L,1
20430,Z,1
20431,Q,1
20432,L,1
20433,Y,1
20434,H,1
20435,J,1
20436,Q,1
20437,S,1
20438,P,1
20439,S,1
20440,F,1
20441,X,1
20442,L,1
20443,F,1
20444,P,1
20445,B,1
20446,Y,1
20447,Q,1
20448,X,1
20449,X,1
20450,X,1
20451,Y,1
20452,D,1
20453,C,1
20454,C,1
20455,Z,1
20456,Y,1
20457,L,1
20458,L,1
20459,L,1
20460,S,1
20461,J,1
20462,X,1
20463,F,1
20464,H,1
20465,J,1
20466,X,1
20467,P,1
20468,J,1
20469,B,1
20470,C,1
20471,F,1
20472,F,1
20473,Y,1
20474,A,1
20475,B,1
20476,Y,1
20477,X,1
20478,B,1
20479,H,1
20480,C,1
20481,Z,1
20482,B,1
20483,J,1
20484,Y,1
20485,C,1
20486,L,1
20487,W,1
20488,L,1
20489,C,1
20490,Z,1
20491,G,1
20492,G,1
20493,B,1
20494,T,1
20495,S,1
20496,S,1
20497,M,1
20498,D,1
20499,T,1
20500,J,1
20501,C,1
20502,X,1
20503,P,1
20504,T,1
20505,H,1
20506,Y,1
20507,Q,1
20508,T,1
20509,G,1
20510,J,1
20511,J,1
20512,S,1
20513,C,1
20514,J,1
20515,F,1
20516,Z,1
20517,K,1
20518,J,1
20519,Z,1
20520,J,1
20521,Q,1
20522,N,1
20523,L,1
20524,Z,1
20525,W,1
20526,L,1
20527,S,1
20528,L,1
20529,H,1
20530,D,1
20531,Z,1
20532,B,1
20533,W,1
20534,J,1
20535,N,1
20536,C,1
20537,J,1
20538,Z,1
20539,Y,1
20540,Z,1
20541,S,1
20542,Q,1
20543,N,1
20544,Y,1
20545,C,1
20546,Q,1
20547,Y,1
20548,R,1
20549,Z,1
20550,C,1
20551,J,1
20552,J,1
20553,W,1
20554,Y,1
20555,B,1
20556,R,1
20557,T,1
20558,W,1
20559,P,1
20560,Y,1
20561,F,1
20562,T,1
20563,W,1
20564,E,1
20565,X,1
20566,C,1
20567,S,1
20568,K,1
20569,D,1
20570,Z,1
20571,C,1
20572,T,1
20573,B,1
20574,X,1
20575,H,1
20576,Y,1
20577,Z,1
20578,C,1
20579,Y,1
20580,Y,1
20581,J,1
20582,X,1
20583,Z,1
20584,C,1
20585,F,1
20586,B,1
20587,Z,1
20588,Z,1
20589,M,1
20590,J,1
20591,Y,1
20592,X,1
20593,X,1
20594,C,1
20595,D,1
20596,C,1
20597,Z,1
20598,O,1
20599,T,1
20600,T,1
20601,B,1
20602,Z,1
20603,L,1
20604,J,1
20605,W,1
20606,F,1
20607,C,1
20608,G,1
20609,S,1
20610,Z,1
20611,S,1
20612,X,1
20613,F,1
20614,Y,1
20615,R,1
20616,L,1
20617,N,1
20618,Y,1
20619,J,1
20620,M,1
20621,B,1
20622,D,1
20623,T,1
20624,H,1
20625,J,1
20626,X,1
20627,S,1
20628,Q,1
20629,J,1
20630,C,1
20631,C,1
20632,S,1
20633,B,1
20634,X,1
20635,Y,1
20636,Y,1
20637,T,1
20638,S,1
20639,Y,1
20640,F,1
20641,B,1
20642,J,1
20643,D,1
